"date_column","total_sightings","species"
2014-07-01,32,"Blue Whale"
2014-08-01,4,"Blue Whale"
2015-04-01,2,"Blue Whale"
2015-05-01,1,"Blue Whale"
2015-06-01,24,"Blue Whale"
2015-07-01,5,"Blue Whale"
2015-08-01,1,"Blue Whale"
2015-09-01,4,"Blue Whale"
2015-11-01,1,"Blue Whale"
2016-06-01,2,"Blue Whale"
2016-07-01,3,"Blue Whale"
2016-08-01,2,"Blue Whale"
2016-09-01,30,"Blue Whale"
2016-10-01,11,"Blue Whale"
2017-04-01,1,"Blue Whale"
2017-05-01,4,"Blue Whale"
2017-06-01,9,"Blue Whale"
2017-07-01,6,"Blue Whale"
2017-08-01,20,"Blue Whale"
2017-09-01,47,"Blue Whale"
2017-10-01,1,"Blue Whale"
2017-11-01,2,"Blue Whale"
2017-12-01,3,"Blue Whale"
2018-01-01,5,"Blue Whale"
2018-02-01,1,"Blue Whale"
2018-03-01,1,"Blue Whale"
2018-04-01,3,"Blue Whale"
2018-05-01,3,"Blue Whale"
2018-06-01,64,"Blue Whale"
2018-07-01,13,"Blue Whale"
2018-08-01,15,"Blue Whale"
2018-09-01,26,"Blue Whale"
2018-10-01,6,"Blue Whale"
2019-04-01,1,"Blue Whale"
2019-05-01,6,"Blue Whale"
2019-06-01,4,"Blue Whale"
2019-07-01,1,"Blue Whale"
2019-08-01,3,"Blue Whale"
2019-09-01,10,"Blue Whale"
2019-10-01,8,"Blue Whale"
2019-11-01,5,"Blue Whale"
2020-06-01,22,"Blue Whale"
2020-07-01,35,"Blue Whale"
2020-08-01,169,"Blue Whale"
2020-09-01,105,"Blue Whale"
2020-10-01,50,"Blue Whale"
2020-11-01,31,"Blue Whale"
2020-12-01,17,"Blue Whale"
2021-01-01,2,"Blue Whale"
2021-03-01,1,"Blue Whale"
2021-04-01,1,"Blue Whale"
2021-05-01,10,"Blue Whale"
2021-06-01,43,"Blue Whale"
2021-07-01,19,"Blue Whale"
2021-08-01,12,"Blue Whale"
2021-09-01,3,"Blue Whale"
2021-11-01,2,"Blue Whale"
2021-12-01,1,"Blue Whale"
2022-03-01,1,"Blue Whale"
2022-04-01,1,"Blue Whale"
2022-05-01,43,"Blue Whale"
2022-06-01,82,"Blue Whale"
2022-07-01,14,"Blue Whale"
2022-08-01,29,"Blue Whale"
2022-10-01,30,"Blue Whale"
2022-11-01,3,"Blue Whale"
2023-05-01,1,"Blue Whale"
2023-06-01,44,"Blue Whale"
2023-07-01,5,"Blue Whale"
2023-08-01,11,"Blue Whale"
2023-09-01,14,"Blue Whale"
2024-04-01,5,"Blue Whale"
2024-05-01,48,"Blue Whale"
2024-06-01,194,"Blue Whale"
2024-07-01,61,"Blue Whale"
2024-08-01,152,"Blue Whale"
2024-09-01,7,"Blue Whale"
2024-10-01,3,"Blue Whale"
2024-11-01,5,"Blue Whale"
