"X","Y","sighting_id","species","number_sighted","latitude","longitude","year","month"
-123.027,38.22034,4926,"Minke Whale",1,38.22034,-123.027,2014,"Jul"
-123.398,38.05059,5408,"Humpback Whale",1,38.05059,-123.398,2014,"Jul"
-123.251,38.3228,5406,"Blue Whale",3,38.3228,-123.251,2014,"Jul"
-123.586,38.36381,4916,"Humpback Whale",1,38.36381,-123.586,2014,"Jul"
-123.482,38.36685,4917,"Humpback Whale",2,38.36685,-123.482,2014,"Jul"
-123.505,38.36616,4918,"Humpback Whale",2,38.36616,-123.505,2014,"Jul"
-123.511,38.36594,4919,"Blue Whale",7,38.36594,-123.511,2014,"Jul"
-123.597,38.36348,4920,"Humpback Whale",1,38.36348,-123.597,2014,"Jul"
-123.476,38.36703,4922,"Blue Whale",3,38.36703,-123.476,2014,"Jul"
-123.463,38.36742,4921,"Blue Whale",1,38.36742,-123.463,2014,"Jul"
-123.416,38.36879,4923,"Humpback Whale",1,38.36879,-123.416,2014,"Jul"
-123.508,38.36532,4924,"Humpback Whale",1,38.36532,-123.508,2014,"Jul"
-123.181,38.37775,4925,"Humpback Whale",2,38.37775,-123.181,2014,"Jul"
-123.076,38.14305,4990,"Humpback Whale",3,38.14305,-123.076,2014,"Jul"
-123.09,38.14253,4991,"Blue Whale",1,38.14253,-123.09,2014,"Jul"
-121.797,36.80291,5013,"Humpback Whale",2,36.80291,-121.797,2014,"Jul"
-121.796,36.80126,5014,"Humpback Whale",1,36.80126,-121.796,2014,"Jul"
-121.798,36.8017,5017,"Humpback Whale",1,36.8017,-121.798,2014,"Jul"
-123.183,37.80643,5048,"Humpback Whale",3,37.80643,-123.183,2014,"Jul"
-122.582,37.65492,5050,"_other_selector",1,37.65492,-122.582,2014,"Jul"
-123.146,37.8075,5052,"Humpback Whale",2,37.8075,-123.146,2014,"Jul"
-123.123,37.64294,5053,"Humpback Whale",1,37.64294,-123.123,2014,"Jul"
-123.209,37.80575,5054,"Humpback Whale",1,37.80575,-123.209,2014,"Jul"
-124.081,44.77554,5091,"Gray Whale",1,44.77554,-124.081,2014,"Jul"
-123.323,37.88762,5136,"Humpback Whale",1,37.88762,-123.323,2014,"Jul"
-123.156,37.8911,5139,"Humpback Whale",1,37.8911,-123.156,2014,"Jul"
-122.006,36.80122,5154,"Humpback Whale",3,36.80122,-122.006,2014,"Jul"
-123.319,38.1517,5158,"Humpback Whale",2,38.1517,-123.319,2014,"Jul"
-123.372,38.21442,5157,"Humpback Whale",2,38.21442,-123.372,2014,"Jul"
-123.392,38.25204,5159,"Humpback Whale",5,38.25204,-123.392,2014,"Jul"
-121.884,36.79863,5301,"Northern Right Whale Dolphin",1,36.79863,-121.884,2014,"Jul"
-123.427,38.35872,5320,"Blue Whale",2,38.35872,-123.427,2014,"Jul"
-123.346,38.05222,5322,"Humpback Whale",2,38.05222,-123.346,2014,"Jul"
-123.418,38.36141,5325,"Blue Whale",8,38.36141,-123.418,2014,"Jul"
-123.354,38.11098,5324,"Humpback Whale",1,38.11098,-123.354,2014,"Jul"
-123.417,38.36019,5326,"Humpback Whale",8,38.36019,-123.417,2014,"Jul"
-123.371,38.05124,5328,"Blue Whale",1,38.05124,-123.371,2014,"Jul"
-123.313,38.33815,5333,"Humpback Whale",2,38.33815,-123.313,2014,"Jul"
-123.349,38.34857,5332,"Humpback Whale",4,38.34857,-123.349,2014,"Jul"
-123.44,38.04963,5331,"Humpback Whale",5,38.04963,-123.44,2014,"Jul"
-123.438,38.04965,5334,"Humpback Whale",8,38.04965,-123.438,2014,"Jul"
