"date_column","total_sightings","year","month"
2014-07-01,129,2014,7
2014-08-01,50,2014,8
2014-09-01,45,2014,9
2014-10-01,84,2014,10
2014-11-01,27,2014,11
2014-12-01,9,2014,12
2015-01-01,8,2015,1
2015-02-01,20,2015,2
2015-04-01,21,2015,4
2015-05-01,10,2015,5
2015-06-01,54,2015,6
2015-07-01,61,2015,7
2015-08-01,120,2015,8
2015-09-01,36,2015,9
2015-10-01,12,2015,10
2015-11-01,2,2015,11
2015-12-01,4,2015,12
2016-02-01,5,2016,2
2016-03-01,3,2016,3
2016-04-01,4,2016,4
2016-05-01,19,2016,5
2016-06-01,66,2016,6
2016-07-01,52,2016,7
2016-08-01,22,2016,8
2016-09-01,37,2016,9
2016-10-01,21,2016,10
2016-11-01,22,2016,11
2016-12-01,11,2016,12
2017-01-01,4,2017,1
2017-03-01,1,2017,3
2017-04-01,5,2017,4
2017-05-01,8,2017,5
2017-06-01,37,2017,6
2017-07-01,97,2017,7
2017-08-01,262,2017,8
2017-09-01,480,2017,9
2017-10-01,33,2017,10
2017-11-01,29,2017,11
2017-12-01,156,2017,12
2018-01-01,88,2018,1
2018-02-01,66,2018,2
2018-03-01,174,2018,3
2018-04-01,160,2018,4
2018-05-01,112,2018,5
2018-06-01,133,2018,6
2018-07-01,107,2018,7
2018-08-01,153,2018,8
2018-09-01,423,2018,9
2018-10-01,142,2018,10
2018-11-01,26,2018,11
2018-12-01,10,2018,12
2019-01-01,3,2019,1
2019-02-01,17,2019,2
2019-03-01,63,2019,3
2019-04-01,170,2019,4
2019-05-01,71,2019,5
2019-06-01,151,2019,6
2019-07-01,81,2019,7
2019-08-01,193,2019,8
2019-09-01,161,2019,9
2019-10-01,141,2019,10
2019-11-01,126,2019,11
2019-12-01,18,2019,12
2020-02-01,9,2020,2
2020-03-01,13,2020,3
2020-04-01,625,2020,4
2020-05-01,471,2020,5
2020-06-01,157,2020,6
2020-07-01,377,2020,7
2020-08-01,337,2020,8
2020-09-01,217,2020,9
2020-10-01,400,2020,10
2020-11-01,203,2020,11
2020-12-01,41,2020,12
2021-01-01,22,2021,1
2021-02-01,4,2021,2
2021-03-01,75,2021,3
2021-04-01,245,2021,4
2021-05-01,606,2021,5
2021-06-01,337,2021,6
2021-07-01,331,2021,7
2021-08-01,225,2021,8
2021-09-01,376,2021,9
2021-10-01,386,2021,10
2021-11-01,177,2021,11
2021-12-01,84,2021,12
2022-01-01,47,2022,1
2022-02-01,40,2022,2
2022-03-01,53,2022,3
2022-04-01,772,2022,4
2022-05-01,322,2022,5
2022-06-01,178,2022,6
2022-07-01,389,2022,7
2022-08-01,394,2022,8
2022-09-01,474,2022,9
2022-10-01,368,2022,10
2022-11-01,301,2022,11
2022-12-01,96,2022,12
2023-01-01,18,2023,1
2023-02-01,14,2023,2
2023-03-01,68,2023,3
2023-04-01,214,2023,4
2023-05-01,287,2023,5
2023-06-01,529,2023,6
2023-07-01,334,2023,7
2023-08-01,468,2023,8
2023-09-01,634,2023,9
2023-10-01,399,2023,10
2023-11-01,478,2023,11
2023-12-01,161,2023,12
2024-01-01,16,2024,1
2024-02-01,69,2024,2
2024-03-01,124,2024,3
2024-04-01,151,2024,4
2024-05-01,596,2024,5
2024-06-01,720,2024,6
2024-07-01,857,2024,7
2024-08-01,1187,2024,8
2024-09-01,647,2024,9
2024-10-01,470,2024,10
2024-11-01,224,2024,11
2024-12-01,176,2024,12
