"date_column","total_sightings","year","month"
2014-07-01,97,2014,7
2014-08-01,46,2014,8
2014-09-01,45,2014,9
2014-10-01,84,2014,10
2014-11-01,22,2014,11
2014-12-01,9,2014,12
2015-01-01,8,2015,1
2015-02-01,20,2015,2
2015-04-01,16,2015,4
2015-05-01,9,2015,5
2015-06-01,22,2015,6
2015-07-01,53,2015,7
2015-08-01,119,2015,8
2015-09-01,32,2015,9
2015-10-01,12,2015,10
2015-11-01,1,2015,11
2015-12-01,4,2015,12
2016-03-01,3,2016,3
2016-04-01,2,2016,4
2016-05-01,16,2016,5
2016-06-01,62,2016,6
2016-07-01,46,2016,7
2016-08-01,19,2016,8
2016-09-01,5,2016,9
2016-10-01,10,2016,10
2016-11-01,22,2016,11
2016-12-01,11,2016,12
2017-01-01,4,2017,1
2017-03-01,1,2017,3
2017-04-01,4,2017,4
2017-05-01,4,2017,5
2017-06-01,28,2017,6
2017-07-01,91,2017,7
2017-08-01,237,2017,8
2017-09-01,416,2017,9
2017-10-01,32,2017,10
2017-11-01,23,2017,11
2017-12-01,139,2017,12
2018-01-01,60,2018,1
2018-02-01,54,2018,2
2018-03-01,156,2018,3
2018-04-01,135,2018,4
2018-05-01,109,2018,5
2018-06-01,44,2018,6
2018-07-01,89,2018,7
2018-08-01,137,2018,8
2018-09-01,394,2018,9
2018-10-01,136,2018,10
2018-11-01,26,2018,11
2018-12-01,10,2018,12
2019-01-01,2,2019,1
2019-02-01,17,2019,2
2019-03-01,59,2019,3
2019-04-01,163,2019,4
2019-05-01,60,2019,5
2019-06-01,144,2019,6
2019-07-01,79,2019,7
2019-08-01,189,2019,8
2019-09-01,151,2019,9
2019-10-01,124,2019,10
2019-11-01,117,2019,11
2019-12-01,18,2019,12
2020-02-01,9,2020,2
2020-03-01,13,2020,3
2020-04-01,625,2020,4
2020-05-01,471,2020,5
2020-06-01,123,2020,6
2020-07-01,337,2020,7
2020-08-01,167,2020,8
2020-09-01,110,2020,9
2020-10-01,348,2020,10
2020-11-01,160,2020,11
2020-12-01,23,2020,12
2021-01-01,6,2021,1
2021-02-01,4,2021,2
2021-03-01,69,2021,3
2021-04-01,229,2021,4
2021-05-01,576,2021,5
2021-06-01,292,2021,6
2021-07-01,312,2021,7
2021-08-01,212,2021,8
2021-09-01,373,2021,9
2021-10-01,386,2021,10
2021-11-01,173,2021,11
2021-12-01,68,2021,12
2022-01-01,40,2022,1
2022-02-01,39,2022,2
2022-03-01,52,2022,3
2022-04-01,751,2022,4
2022-05-01,266,2022,5
2022-06-01,89,2022,6
2022-07-01,359,2022,7
2022-08-01,365,2022,8
2022-09-01,472,2022,9
2022-10-01,336,2022,10
2022-11-01,295,2022,11
2022-12-01,96,2022,12
2023-01-01,12,2023,1
2023-02-01,14,2023,2
2023-03-01,68,2023,3
2023-04-01,212,2023,4
2023-05-01,284,2023,5
2023-06-01,483,2023,6
2023-07-01,329,2023,7
2023-08-01,446,2023,8
2023-09-01,618,2023,9
2023-10-01,399,2023,10
2023-11-01,475,2023,11
2023-12-01,161,2023,12
2024-01-01,13,2024,1
2024-02-01,69,2024,2
2024-03-01,121,2024,3
2024-04-01,136,2024,4
2024-05-01,539,2024,5
2024-06-01,473,2024,6
2024-07-01,783,2024,7
2024-08-01,999,2024,8
2024-09-01,630,2024,9
2024-10-01,462,2024,10
2024-11-01,217,2024,11
2024-12-01,174,2024,12
