"species","date_column","total_sightings"
"Humpback Whale",2014-07-01,97
"Humpback Whale",2014-08-01,46
"Humpback Whale",2014-09-01,45
"Humpback Whale",2014-10-01,84
"Humpback Whale",2014-11-01,22
"Humpback Whale",2014-12-01,9
"Humpback Whale",2015-01-01,8
"Humpback Whale",2015-02-01,20
"Humpback Whale",2015-04-01,16
"Humpback Whale",2015-05-01,9
"Humpback Whale",2015-06-01,22
"Humpback Whale",2015-07-01,53
"Humpback Whale",2015-08-01,119
"Humpback Whale",2015-09-01,32
"Humpback Whale",2015-10-01,12
"Humpback Whale",2015-11-01,1
"Humpback Whale",2015-12-01,4
"Humpback Whale",2016-03-01,3
"Humpback Whale",2016-04-01,2
"Humpback Whale",2016-05-01,16
"Humpback Whale",2016-06-01,62
"Humpback Whale",2016-07-01,46
"Humpback Whale",2016-08-01,19
"Humpback Whale",2016-09-01,5
"Humpback Whale",2016-10-01,10
"Humpback Whale",2016-11-01,22
"Humpback Whale",2016-12-01,11
"Humpback Whale",2017-01-01,4
"Humpback Whale",2017-03-01,1
"Humpback Whale",2017-04-01,4
"Humpback Whale",2017-05-01,4
"Humpback Whale",2017-06-01,28
"Humpback Whale",2017-07-01,91
"Humpback Whale",2017-08-01,237
"Humpback Whale",2017-09-01,416
"Humpback Whale",2017-10-01,32
"Humpback Whale",2017-11-01,23
"Humpback Whale",2017-12-01,139
"Humpback Whale",2018-01-01,60
"Humpback Whale",2018-02-01,54
"Humpback Whale",2018-03-01,156
"Humpback Whale",2018-04-01,135
"Humpback Whale",2018-05-01,109
"Humpback Whale",2018-06-01,44
"Humpback Whale",2018-07-01,89
"Humpback Whale",2018-08-01,137
"Humpback Whale",2018-09-01,394
"Humpback Whale",2018-10-01,136
"Humpback Whale",2018-11-01,26
"Humpback Whale",2018-12-01,10
"Humpback Whale",2019-01-01,2
"Humpback Whale",2019-02-01,17
"Humpback Whale",2019-03-01,59
"Humpback Whale",2019-04-01,163
"Humpback Whale",2019-05-01,60
"Humpback Whale",2019-06-01,144
"Humpback Whale",2019-07-01,79
"Humpback Whale",2019-08-01,189
"Humpback Whale",2019-09-01,151
"Humpback Whale",2019-10-01,124
"Humpback Whale",2019-11-01,117
"Humpback Whale",2019-12-01,18
"Humpback Whale",2020-02-01,9
"Humpback Whale",2020-03-01,13
"Humpback Whale",2020-04-01,625
"Humpback Whale",2020-05-01,471
"Humpback Whale",2020-06-01,123
"Humpback Whale",2020-07-01,337
"Humpback Whale",2020-08-01,167
"Humpback Whale",2020-09-01,110
"Humpback Whale",2020-10-01,348
"Humpback Whale",2020-11-01,160
"Humpback Whale",2020-12-01,23
"Humpback Whale",2021-01-01,6
"Humpback Whale",2021-02-01,4
"Humpback Whale",2021-03-01,69
"Humpback Whale",2021-04-01,229
"Humpback Whale",2021-05-01,576
"Humpback Whale",2021-06-01,292
"Humpback Whale",2021-07-01,312
"Humpback Whale",2021-08-01,212
"Humpback Whale",2021-09-01,373
"Humpback Whale",2021-10-01,386
"Humpback Whale",2021-11-01,173
"Humpback Whale",2021-12-01,68
"Humpback Whale",2022-01-01,40
"Humpback Whale",2022-02-01,39
"Humpback Whale",2022-03-01,52
"Humpback Whale",2022-04-01,751
"Humpback Whale",2022-05-01,266
"Humpback Whale",2022-06-01,89
"Humpback Whale",2022-07-01,359
"Humpback Whale",2022-08-01,365
"Humpback Whale",2022-09-01,472
"Humpback Whale",2022-10-01,336
"Humpback Whale",2022-11-01,295
"Humpback Whale",2022-12-01,96
"Humpback Whale",2023-01-01,12
"Humpback Whale",2023-02-01,14
"Humpback Whale",2023-03-01,68
"Humpback Whale",2023-04-01,212
"Humpback Whale",2023-05-01,284
"Humpback Whale",2023-06-01,483
"Humpback Whale",2023-07-01,329
"Humpback Whale",2023-08-01,446
"Humpback Whale",2023-09-01,618
"Humpback Whale",2023-10-01,399
"Humpback Whale",2023-11-01,475
"Humpback Whale",2023-12-01,161
"Humpback Whale",2024-01-01,13
"Humpback Whale",2024-02-01,69
"Humpback Whale",2024-03-01,121
"Humpback Whale",2024-04-01,136
"Humpback Whale",2024-05-01,539
"Humpback Whale",2024-06-01,473
"Humpback Whale",2024-07-01,783
"Humpback Whale",2024-08-01,999
"Humpback Whale",2024-09-01,630
"Humpback Whale",2024-10-01,462
"Humpback Whale",2024-11-01,217
"Humpback Whale",2024-12-01,174
